,chemical_name_NL,pass_fail,mean_conc,output_gw,CAS_number,chemical_name_EN,molecular_weight,solubility,log_octanol_water_partitioning_coefficient,log_distribution_coefficient,chemical_group,chemical_group_number,molecular_volume,Drinking_water_norm
14,fluoranthene,passed,0.246008993,1.000324096,,fluoranthene,202.15,0.836365063,5.08,3.943475119,PAK,1,195.85,0.0001
21,heptachlor,passed,0.012507805,1.000272089,,heptachlor,373.3,1.180478251,6,3.213533128,overige,3,230.8,3.00E-05
22,heptachlor epoxide,passed,0.000630553,1.000606681,,heptachlor epoxide,389.3,4.900996628,5.4,1.705641075,overige,3,233.7,3.00E-05
45,Hexachloorbenzeen,passed,0.186840069,1.000382862,118741,Hexachlorobenzene,284.8,0.0117,5.73,2.823626427,ClArom,1,,0.001
30,δ-HCH,passed,5.30E-05,1.00072669,,δ-HCH,290.8,115.7695652,3.9,2.134261869,overige,3,178,0.0001
26,α-endosulfan,passed,0.00023866,1.000087571,,α-endosulfan,406.9,2.567365435,4.9,1.874913747,overige,3,236.3,0.0001
27,α-HCH,passed,5.41E-05,1.000693387,,α-HCH,290.8,91.95903436,3.9,2.09433891,overige,3,178,0.0001
28,β-HCH,passed,4.80E-05,1.000805073,,β-HCH,290.8,460.8869404,3.9,2.134261869,overige,3,178,0.0001
29,γ-HCH,passed,4.40E-05,1.000652125,,γ-HCH,290.8,73.04565743,3.8,1.755373969,overige,3,178,0.0001
15,"indeno[1,2,3-cd]pyrene",failed,3.44E+217,5.12E+217,,"indeno[1,2,3-cd]pyrene",276,0.000265,6.7,4.783464526,PAK,1,253.4,0.0001
92,MCPA,passed,1.26E-05,1.000967759,,MCPA,200.6,622,2.68,0.573466342,overige,3,,0.0001
106,m-Cresol,passed,1.04E-05,1.000596155,108394,m-Cresol,108.1166641,6321.665372,1.96,0.517742126,overige,3,,0.001
80,Minerale olie (C10),failed,,,,10,122,0.1,5.28,4.164492244,Alk,1,,0.001
81,Minerale olie (C11),failed,,,,11,134,0.028183829,5.73,4.164492244,Alk,1,,0.001
82,Minerale olie (C12),failed,,,,12,146,0.007943282,6.18,4.164492244,Alk,1,,0.001
83,Minerale olie (C13),failed,,,,13,158,0.002238721,6.63,5.463590432,Alk,1,,0.001
84,Minerale olie (C14),failed,,,,14,170,0.000630957,7.08,5.463590432,Alk,1,,0.001
85,Minerale olie (C15),failed,,,,15,182,0.00018,7.53,5.463590432,Alk,1,,0.001
86,Minerale olie (C16),failed,,,,16,194,5.01E-05,7.98,5.463590432,Alk,1,,0.001
87,Minerale olie (C17),failed,,,,17,206,1.41E-05,8.43,7.763487393,Alk,1,,0.001
88,Minerale olie (C18),failed,,,,18,218,3.98E-06,8.88,7.763487393,Alk,1,,0.001
89,Minerale olie (C19),failed,,,,19,230,1.12E-06,9.33,7.763487393,Alk,1,,0.001
90,Minerale olie (C20),failed,,,,20,242,3.16E-07,9.78,7.763487393,Alk,1,,0.001
91,Minerale olie (C21),failed,,,,21,254,8.91E-08,10.23,7.763487393,Alk,1,,0.001
78,Monochlooranilinen,passed,6.34E-06,1.000567583,,Monochlooranilinen,127.6,3470,1.88,1.308827992,Cl,3,,0.001
46,Monochloorbenzeen,passed,0.001441465,1.000633784,108-90-7,Chlorobenzene,112.5899987,507.425862,2.89,1.112564971,ClArom,1,,0.001
34,m-Xyleen,passed,0.00406836,1.000612338, 108-38-3 ,m-Xylene,106.1899991,197.4065205,3.2,1.181562839,MAK,1,,0.001
16,Naftaleen,passed,0.003241071,1.00065867,91-20-3,Naphthalene,128.19,31.8,3.3,1.745433577,PAK,1,124.6,0.001
23,"o,p’-DDD",passed,0.204400988,1.000550775,,"o,p’-DDD",320.1,0.3201,6.8,3.943475106,overige,3,224.8,0.0001
24,"o,p’-DDE",passed,0.339707124,1.000360594,,"o,p’-DDE",318,0.400338281,7.1,4.1134711,overige,3,221.1,0.0001
25,"o,p’-DDT",passed,0.060128706,1.000655392,,"o,p’-DDT",354.5,0.177670874,6.4,4.343467663,overige,3,237.7,0.0001
107,o-Cresol,passed,9.62E-06,1.000566889,95487,o-Cresol,108.1166641,14858.86058,1.95,0.399094472,overige,3,,0.001
35,o-Xyleen,passed,0.003301774,1.000622468, 95-47-6 ,o-Xylene,106.186665,218.9335957,3.12,0.956771645,MAK,1,,0.001
3,PCB 101,failed,2.64E+140,3.04E+140,,PCB 101,325.1617,0.057913166,6.316,4.293468622,PCB,2,,0.0001
4,PCB 118,failed,,,,PCB 118,341.3406,0.032261293,6.5081,5.113463578,PCB,2,,0.0001
5,PCB 138,failed,,,,PCB 138,360.3746,0.017903781,6.7341,4.473466391,PCB,2,,0.0001
6,PCB 153,failed,,,,PCB 153,374.6501,0.012145224,6.9036,4.63346528,PCB,2,,0.0001
0,PCB 180,failed,,,,PCB 180,395.3,0.006265083,7.3,4.753464668,PCB,2,360.9,0.0001
1,PCB 28,passed,0.625173415,1.000045867,,PCB 28,257.5,0.20453952,5.65,3.373509124,PCB,2,257.5,0.0001
2,PCB 52,passed,0.616044935,0.999989534,,PCB 52,292,0.116247294,5.85,3.463500793,PCB,2,,0.0001
108,p-Cresol,passed,9.02E-06,1.000544606,106445,p-Cresol,108.1099991,28640.96526,1.94,0.444357034,overige,3,,0.001
47,Pentachloorbenzeen,passed,0.084034313,1.000584268,608-93-5,Pentachlorobenzene,250.1297785,0.322818462,5.076666667,2.683710051,ClArom,1,,0.001
79,Pentachloorfenol,passed,0.002367137,1.000517279,87-86-5,Pentachlorophenol,266.33,4.28,5.12,1.964642345,Cl,3,,0.001
36,p-Xyleen,passed,0.003570404,1.000618954,,p-Xylene,106.186665,210.9384616,3.15,1.428036212,MAK,1,123.9,0.001
103,pyridine,passed,7.03E-07,1.000521669,110861,pyridine,79.1,665483.58,0.65,0.714917304,overige,3,,0.0001
37,Styrene,passed,0.002226282,1.000648598,100-42-5,Styrene,104.1485645,320.0573505,2.95,1.348594147,MAK,1,,0.001
62,Tetrachlooretheen,passed,0.001245845,1.00095936,127-18-4,Tetrachloroethylene,165.8074995,118.8825037,3.4,1.194834616,ClAlk,1,,0.01
63,Tetrachloormethaan,passed,0.000362858,1.00054629,56-23-5,Tetrachloromethane,153.82,800,2.83,0.558949208,ClAlk,1,,0.001
104,tetrahydrothiophene,passed,6.57E-06,1.000632448,110010,tetrahydrothiophene,88.17499986,12894.97733,1.61,0.232488206,overige,3,,0.0001
38,Tolueen,passed,0.001760879,1.000697428,108-88-3,Toluene,92.14249285,610.5910523,2.73,0.870272715,MAK,1,106.9,0.001
105,Tribroommethaan,passed,4.98E-06,1.000837515,,Tribromomethane,252.8,1719,2.67,0.946079776,overige,3,,0.0001
64,Trichlooretheen,passed,0.000387401,1.00058463,79-01-6,Trichloroethylene,131.4,1164.844161,2.61,0.842372721,ClAlk,1,,0.01
65,Vinylchloride,passed,0.000218207,1.000859534,75-01-4,Vinyl chloride,62.5,428,1.52,0.734988789,ClAlk,1,,0.0001
