,chemical_name_NL,pass_fail,mean_conc,output_gw,CAS_number,chemical_name_EN,molecular_weight,solubility,log_octanol_water_partitioning_coefficient,log_distribution_coefficient,chemical_group,chemical_group_number,molecular_volume,Drinking_water_norm
80,Minerale olie (C10),passed,0.8596931188211363,1.0023322890140547,,10,122.0,0.1,5.28,4.164492244,Alk,1.0,,0.001
81,Minerale olie (C11),passed,0.9326053257113689,0.997084247277747,,11,134.0,0.028183829,5.73,4.164492244,Alk,1.0,,0.001
82,Minerale olie (C12),passed,0.9701488667151876,0.9984818323777198,,12,146.0,0.007943282,6.18,4.164492244,Alk,1.0,,0.001
83,Minerale olie (C13),failed,0.9895092341235044,1.6898292846464598e-41,,13,158.0,0.002238721,6.63,5.463590432,Alk,1.0,,0.001
84,Minerale olie (C14),failed,0.9950419110773502,7.720367363505671e-40,,14,170.0,0.000630957,7.08,5.463590432,Alk,1.0,,0.001
85,Minerale olie (C15),failed,1.0022543113892974,2.2782813738611572e-39,,15,182.0,0.000177828,7.53,5.463590432,Alk,1.0,,0.001
86,Minerale olie (C16),failed,0.9992468124054168,2.171551733730464e-39,,16,194.0,5.01e-05,7.98,5.463590432,Alk,1.0,,0.001
87,Minerale olie (C17),failed,0.9976461192297126,1.3058954262700205e-39,,17,206.0,1.41e-05,8.43,7.763487393,Alk,1.0,,0.001
88,Minerale olie (C18),failed,1.009186617390823,6.5716892389808904e-40,,18,218.0,3.98e-06,8.88,7.763487393,Alk,1.0,,0.001
89,Minerale olie (C19),failed,0.9983227589844278,2.9882172495047223e-40,,19,230.0,1.12e-06,9.33,7.763487393,Alk,1.0,,0.001
90,Minerale olie (C20),failed,1.0043144314778685,1.3374404630612395e-40,,20,242.0,3.16e-07,9.78,7.763487393,Alk,1.0,,0.001
91,Minerale olie (C21),failed,1.005491833000935,5.877700316211172e-41,,21,254.0,8.91e-08,10.23,7.763487393,Alk,1.0,,0.001
92,MCPA,passed,1.2552327878332882e-05,1.0091967197654992,,MCPA,200.6,622.0,2.68,0.573466342,overige,3.0,,0.0001
93,atrazine,passed,1.0536322852924986e-05,1.0093027008584419,1912249,atrazine,215.6966666,38.13236662,2.61,0.975115324,overige,3.0,,0.0001
94,carbaryl,passed,7.022670119064692e-06,1.0098472770982387,63252,carbaryl,201.2066664,81.56328382,2.36,1.043401359,overige,3.0,,0.0001
95,carbofuran,passed,8.716201521698161e-07,1.0098638225853676,1563662,carbofuran,221.2899993,376.0966593,1.63,0.444356263,overige,3.0,,0.0001
96,dimethylftalaat(DMP),passed,1.0336605414069331e-06,1.0098558327596885,131113,Dimethyl phthalate,194.19,2014.0,1.56,1.023864247,overige,3.0,,0.0001
97,diethylftalaat(DEP),passed,5.810504352845555e-06,1.0098718290881108,84662,Diethyl phthalate (DEP),222.24,287.2,2.47,1.407730396,overige,3.0,,0.0001
98,di-isobutylftalaat(DIBP),passed,0.0003237183807253988,1.0075953772645023,,Diisobutyl phthalate,278.35,9.6,4.46,2.00453864,overige,3.0,,0.0001
99,dibuthylftalaat(DBP),passed,0.0012252875262749106,1.0046166778227614,84742,dibutyl phthalate,278.35,2.351,4.72,1.745420579,overige,3.0,,0.0001
100,butylbenzylftalaat(BBP),passed,0.0007279388883240448,1.0058491664814588,85687,benzyl butyl phthalate (BBP),312.3966666,4.218630438,4.91,2.673692963,overige,3.0,,0.0001
101,dihexylftalaat(DHP),passed,0.2217313472936968,1.0078940934506193,84753,Dihexyl phthalate (DHP),334.5,0.01151,6.85,3.413505198,overige,3.0,,0.0001
102,di(2-ethylhexyl)ftalaat,passed,0.3008133878186712,1.0063334437533036,117817,di(2-ethylhexyl)phthalate,390.5866662,0.045738942,7.45,4.133470728,overige,3.0,,0.0001
103,pyridine,passed,7.029832731838492e-07,1.0096900821044281,110861,pyridine,79.1,665483.58,0.65,0.714917304,overige,3.0,,0.0001
104,tetrahydrothiophene,passed,6.5698200934444315e-06,1.0095289460696646,110010,tetrahydrothiophene,88.17499986,12894.97733,1.61,0.232488206,overige,3.0,,0.0001
105,Tribroommethaan,passed,4.979475386029971e-06,1.0096905956537865,,Tribromomethane,252.8,1719.0,2.67,0.946079776,overige,3.0,,0.0001
106,m-Cresol,passed,1.0385763202991024e-05,1.0099943736564652,108394,m-Cresol,108.1166641,6321.665372,1.96,0.517742126,overige,3.0,,0.001
107,o-Cresol,passed,9.61743603167372e-06,1.009488820241225,95487,o-Cresol,108.1166641,14858.86058,1.95,0.399094472,overige,3.0,,0.001
108,p-Cresol,passed,9.020740588690171e-06,1.0091106647869397,106445,p-Cresol,108.1099991,28640.96526,1.94,0.444357034,overige,3.0,,0.001
