,chemical_name_NL,pass_fail,mean_conc,output_gw,CAS_number,chemical_name_EN,molecular_weight,solubility,log_octanol_water_partitioning_coefficient,log_distribution_coefficient,chemical_group,chemical_group_number,molecular_volume,Drinking_water_norm
62,α-HCH,passed,9.835525133185922e-11,1.8787720435802504e-06,,α-HCH,290.8,91.95903436,3.9,2.09433891,overige,3.0,178.0,0.0001
63,β-HCH,passed,8.881001130484114e-11,1.8495939813911292e-06,,β-HCH,290.8,460.8869404,3.9,2.134261869,overige,3.0,178.0,0.0001
64,γ-HCH,passed,7.965915472732925e-11,1.8637458991402341e-06,,γ-HCH,290.8,73.04565743,3.8,1.755373969,overige,3.0,178.0,0.0001
65,"indeno[1,2,3-cd]pyrene",passed,6.709563036637864e-07,1.8545227843503748e-06,,"indeno[1,2,3-cd]pyrene",276.0,0.000265,6.7,4.783464526,PAK,1.0,253.4,0.0001
66,MCPA,passed,2.327070288060975e-11,1.8643624189698802e-06,,MCPA,200.6,622.0,2.68,0.573466342,overige,3.0,,0.0001
67,m-Cresol,passed,1.931127217471836e-11,1.8732955935268957e-06,108394,m-Cresol,108.1166641,6321.665372,1.96,0.517742126,overige,3.0,,0.001
68,Minerale olie (C10),passed,8.157427777771581e-07,1.8484601024535278e-06,,10,122.0,0.1,5.28,4.164492244,Alk,1.0,,0.001
69,Minerale olie (C11),passed,1.2072327369079643e-06,1.8579316803761641e-06,,11,134.0,0.028183829,5.73,4.164492244,Alk,1.0,,0.001
70,Minerale olie (C12),passed,1.5184125727221689e-06,1.8626387792112711e-06,,12,146.0,0.007943282,6.18,4.164492244,Alk,1.0,,0.001
71,Minerale olie (C13),passed,1.7051587115855232e-06,1.8634043003876528e-06,,13,158.0,0.002238721,6.63,5.463590432,Alk,1.0,,0.001
72,Monochlooranilinen,passed,1.178971352861879e-11,1.8588327347189413e-06,,Monochlooranilinen,127.6,3470.0,1.88,1.308827992,Cl,3.0,,0.001
73,Monochloorbenzeen,passed,2.6703932741556923e-09,1.8450997662017918e-06,108-90-7,Chlorobenzene,112.5899987,507.425862,2.89,1.112564971,ClArom,1.0,,0.001
74,m-Xyleen,passed,7.489171218924293e-09,1.8467202586929918e-06, 108-38-3 ,m-Xylene,106.1899991,197.4065205,3.2,1.181562839,MAK,1.0,,0.001
75,Naftaleen,passed,5.6541062851637635e-09,1.8545829643728483e-06,91-20-3,Naphthalene,128.19,31.8,3.3,1.745433577,PAK,1.0,124.6,0.001
76,"o,p’-DDD",passed,5.983920755617424e-08,1.8626214837003286e-06,,"o,p’-DDD",320.1,0.3201,6.8,3.943475106,overige,3.0,224.8,0.0001
77,"o,p’-DDE",passed,1.1609148450452492e-07,1.8680374631831211e-06,,"o,p’-DDE",318.0,0.400338281,7.1,4.1134711,overige,3.0,221.1,0.0001
78,"o,p’-DDT",passed,1.5271432600879148e-08,1.8536495347443978e-06,,"o,p’-DDT",354.5,0.177670874,6.4,4.343467663,overige,3.0,237.7,0.0001
79,o-Cresol,passed,1.7885969487626776e-11,1.8575654655405152e-06,95487,o-Cresol,108.1166641,14858.86058,1.95,0.399094472,overige,3.0,,0.001
80,o-Xyleen,passed,6.0845743675008525e-09,1.870836769567589e-06, 95-47-6 ,o-Xylene,106.186665,218.9335957,3.12,0.956771645,MAK,1.0,,0.001
81,PCB 101,passed,5.284778528818248e-07,1.8646664921929216e-06,,PCB 101,325.1617,0.057913166,6.316,4.293468622,PCB,2.0,212.15,0.0001
82,PCB 118,passed,6.254009462458237e-07,1.8550995419214848e-06,,PCB 118,341.3406,0.032261293,6.5081,5.113463578,PCB,2.0,210.25,0.0001
83,PCB 138,passed,7.497823449318859e-07,1.8499971386806342e-06,,PCB 138,360.3746,0.017903781,6.7341,4.473466391,PCB,2.0,223.25,0.0001
84,PCB 153,passed,8.502326327830717e-07,1.8639151845699243e-06,,PCB 153,374.6501,0.012145224,6.9036,4.63346528,PCB,2.0,223.75,0.0001
85,PCB 180,passed,1.1632294063643666e-06,1.8634244180456738e-06,,PCB 180,395.3,0.006265083,7.3,4.753464668,PCB,2.0,360.9,0.0001
