,chemical_name_NL,pass_fail,mean_conc,output_gw,CAS_number,chemical_name_EN,molecular_weight,solubility,log_octanol_water_partitioning_coefficient,log_distribution_coefficient,chemical_group,chemical_group_number,molecular_volume,Drinking_water_norm
63,Tetrachloormethaan,passed,0.01829800521121358,0.9936443441923392,56-23-5,Tetrachloromethane,153.82,800.0,2.83,0.558949208,ClAlk,1.0,,0.001
64,Trichlooretheen,passed,0.01623635122701523,0.9944849922286392,79-01-6,Trichloroethylene,131.4,1164.844161,2.61,0.842372721,ClAlk,1.0,,0.01
65,Vinylchloride,passed,0.004804243350028965,0.9949430971040498,75-01-4,Vinyl chloride,62.5,428.0,1.52,0.734988789,ClAlk,1.0,,0.0001
66,"2,4-dichloorfenol",passed,0.03134687499999997,0.9902060406464884,,"2,4-dichloorphenol",163.0,1907.107928,3.06,1.308828347,ClAlk,1.0,,0.001
67,"2,5-dichloorfenol",passed,0.03704546279907223,0.9940149818007101,,"2,5-dichloorphenol",163.0,420.9082483,3.06,1.596225694,ClAlk,1.0,,0.001
68,"2,6-dichloorfenol",passed,0.009496566963195773,0.9925002220037299,,"2,6-dichloorphenol",163.0,534.106534,2.75,1.397831352,ClAlk,1.0,,0.001
69,"2,3,4-Trichloorfenol",passed,0.005485867507703341,0.9939128789916559,15950-66-0,"2,3,4-Trichlorophenol",197.5,71.1,3.8,1.845017825,Cl,3.0,,0.001
70,"2,3,5,6-Tetrachloorfenol",passed,0.00829704209748449,0.9974476695408694,935-95-5,"2,3,5,6-Tetrachlorophenol",231.9,4.79,3.88,2.10431794,Cl,3.0,,0.001
71,"2,4,6-Trichloorfenol",passed,0.003105129265600654,0.9946363444168922,88-06-2,"2,4,6-Trichlorophenol",197.46,243.0,3.695,2.234096671,Cl,3.0,,0.001
72,"3,4,5-Trichloorfenol",passed,0.014024604940600663,0.9954191463614719,609-19-8,"3,4,5-Trichlorophenol",197.45,34.6,4.01,2.304002415,Cl,3.0,,0.001
73,1-chloornaftaleen,passed,0.050021765136718715,1.0060620304065926,90131,1-chloornaphthalene,162.6059998,16.80146852,4.1,2.18418207,Cl,3.0,,0.001
74,2-chloornaftaleen,passed,0.06883209328353401,1.0049966608785885,91587,2-chloornaphthalene,162.6099997,9.71436827,4.14,2.184177182,Cl,3.0,,0.001
75,2-chloorfenol,failed,0.002537508896272603,0.9884441740310123,,2-chloorphenol,128.5899988,8708.954334,2.15,0.398828347,ClAlk,1.0,,0.001
76,3-chloorfenol,passed,0.009105539995431872,0.995727071724868,,3-chloorphenol,128.5899988,7969.660322,2.5,0.748828347,ClAlk,1.0,,0.001
77,4-chloorfenol,passed,0.005650832009728738,0.9924290320056074,,4-chloorphenol,128.5899988,7667.192707,2.39,0.638828347,ClAlk,1.0,,0.001
78,Monochlooranilinen,failed,0.00013963292727141443,0.9895901269363359,,Monochlooranilinen,127.6,3470.0,1.88,1.308827992,Cl,3.0,,0.001
79,Pentachloorfenol,passed,0.355197543334961,0.9949283015666742,87-86-5,Pentachlorophenol,266.33,4.28,5.12,1.964642345,Cl,3.0,,0.001
80,Minerale olie (C10),failed,0.9999931796755642,1.2067613581620729e-301,,10,122.0,0.1,5.28,4.164492244,Alk,1.0,,0.001
81,Minerale olie (C11),failed,0.9999986612412727,1.3006461385389063e-301,,11,134.0,0.028183829,5.73,4.164492244,Alk,1.0,,0.001
82,Minerale olie (C12),failed,0.9999997398086735,1.2948569504956898e-301,,12,146.0,0.007943282,6.18,4.164492244,Alk,1.0,,0.001
83,Minerale olie (C13),failed,0.999999949629945,1.2694817629733576e-301,,13,158.0,0.002238721,6.63,5.463590432,Alk,1.0,,0.001
84,Minerale olie (C14),failed,0.9999999903118943,1.2414473583345524e-301,,14,170.0,0.000630957,7.08,5.463590432,Alk,1.0,,0.001
85,Minerale olie (C15),failed,0.9999999981375411,1.2142014199846726e-301,,15,182.0,0.000177828,7.53,5.463590432,Alk,1.0,,0.001
86,Minerale olie (C16),failed,0.9999999996432294,1.1884889085990621e-301,,16,194.0,5.01e-05,7.98,5.463590432,Alk,1.0,,0.001
87,Minerale olie (C17),failed,0.9999999999320646,1.1644817603002188e-301,,17,206.0,1.41e-05,8.43,7.763487393,Alk,1.0,,0.001
88,Minerale olie (C18),failed,0.999999999987055,1.1423151602370372e-301,,18,218.0,3.98e-06,8.88,7.763487393,Alk,1.0,,0.001
89,Minerale olie (C19),failed,0.9999999999975444,1.1218210208202777e-301,,19,230.0,1.12e-06,9.33,7.763487393,Alk,1.0,,0.001
90,Minerale olie (C20),failed,0.9999999999995338,1.1030773176919922e-301,,20,242.0,3.16e-07,9.78,7.763487393,Alk,1.0,,0.001
91,Minerale olie (C21),failed,0.9999999999999118,1.0859108299813913e-301,,21,254.0,8.91e-08,10.23,7.763487393,Alk,1.0,,0.001
92,MCPA,failed,0.00027589726413193214,0.9881651879651153,,MCPA,200.6,622.0,2.68,0.573466342,overige,3.0,,0.0001
93,atrazine,passed,0.00023324385083075877,0.9972921383122751,1912249,atrazine,215.6966666,38.13236662,2.61,0.975115324,overige,3.0,,0.0001
94,carbaryl,passed,0.00015451688571373873,0.9902226145895117,63252,carbaryl,201.2066664,81.56328382,2.36,1.043401359,overige,3.0,,0.0001
95,carbofuran,passed,1.932987975965499e-05,0.9968099189989813,1563662,carbofuran,221.2899993,376.0966593,1.63,0.444356263,overige,3.0,,0.0001
96,dimethylftalaat(DMP),passed,2.2904920880052202e-05,0.9957766590202034,131113,Dimethyl phthalate,194.19,2014.0,1.56,1.023864247,overige,3.0,,0.0001
